,epoch,train_loss,train_acc,val_loss,val_acc
0,0.0,2.3279996448308715,0.4246669962773383,1.883545106607914,0.5456704668838219
1,1.0,1.7606745986272259,0.5717921126105165,1.652174865683531,0.5984154451682954
2,2.0,1.5850920059105833,0.6123196835737552,1.5468291359470399,0.6226248642779587
3,3.0,1.469960989415812,0.6438314332247557,1.4626400208233208,0.6543159609120521
4,4.0,1.3729699937086735,0.6762084108887855,1.3834140639392902,0.6835131650380022
5,5.0,1.2868523110941974,0.7010091903210796,1.3276331191312298,0.7007837947882736
6,6.0,1.2119489590823305,0.7200369357840857,1.2841199343487948,0.7142033116178067
7,7.0,1.1500955372970776,0.7327245230339693,1.257978468210018,0.7175793973941368
8,8.0,1.0940877434244165,0.7420311772917636,1.2411192217457192,0.7204634907709012
9,9.0,1.0469732747741283,0.750450791065612,1.2302978163870335,0.7239922638436482
10,10.0,0.9998220145990989,0.7585723010702652,1.2271085970298734,0.7226350434310532
11,11.0,0.961957753886867,0.7641781060958586,1.2266143116401982,0.7231779315960912
12,12.0,0.9213305601385141,0.771470742205677,1.2336489625581106,0.7223805646036916
13,13.0,0.8823701244698323,0.7783125872498836,1.2353128449355464,0.7225162866449512
14,14.0,0.8463129119892514,0.7856343066542578,1.2466176296998608,0.7225841476655809
15,15.0,0.8122054520479142,0.7919744648673802,1.2603885626655171,0.7204634907709012
16,16.0,0.7768098008062685,0.7998923918101443,1.277621251982822,0.7216510586319218
17,17.0,0.7425064666129747,0.8073595276872965,1.2924946089509775,0.7205313517915309
18,18.0,0.7108718420801621,0.8141941019078641,1.3150924923283756,0.7211760314875135
19,19.0,0.6822060735196546,0.8194436365751512,1.3307263116331296,0.7205143865363735
